[2026-02-19 00:32:15:573] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 00:33:52:545] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：32; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 00:38:29:235] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 00:43:45:328] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：32; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 00:49:16:156] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：32; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 00:55:33:683] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 01:06:59:984] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：32; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 01:27:09:062] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 02:46:21:789] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 03:39:51:865] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 03:56:22:039] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 04:05:15:815] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 04:48:20:033] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 06:19:46:336] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 07:31:31:804] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：32; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 07:51:54:826] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：32; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 08:01:39:320] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 08:48:17:250] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：32; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 09:10:08:831] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 09:10:20:550] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 09:15:05:317] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 14960, CurPlayThreadId: 14960

[2026-02-19 09:45:29:732] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 14960, CurPlayThreadId: 14960

