[2026-09-17 10:40:20:162] LuaNPC: ID:999999999 执行 startup player: 耗时：47; NpcThreadId: 75620, CurPlayThreadId: 75620

[2026-09-17 10:42:19:125] LuaNPC:玩家名字 ID:999999999 执行 login player:玩家名字 耗时：109; NpcThreadId: 80748, CurPlayThreadId: 80748

[2026-09-17 10:44:51:456] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 80748, CurPlayThreadId: 80748

[2026-09-17 10:46:25:731] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：32; NpcThreadId: 80748, CurPlayThreadId: 80748

[2026-09-17 10:46:33:721] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：32; NpcThreadId: 80748, CurPlayThreadId: 80748

[2026-09-17 10:46:35:929] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 80748, CurPlayThreadId: 80748

[2026-09-17 10:48:51:797] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 80748, CurPlayThreadId: 80748

[2026-09-17 10:49:12:532] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 80748, CurPlayThreadId: 80748

[2026-09-17 10:49:25:104] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：32; NpcThreadId: 80748, CurPlayThreadId: 80748

[2026-09-17 10:49:47:557] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 80748, CurPlayThreadId: 80748

[2026-09-17 10:49:50:300] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 80748, CurPlayThreadId: 80748

[2026-09-17 10:50:00:842] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：32; NpcThreadId: 80748, CurPlayThreadId: 80748

[2026-09-17 10:50:05:211] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 80748, CurPlayThreadId: 80748

[2026-09-17 10:50:31:955] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 80748, CurPlayThreadId: 80748

[2026-09-17 10:51:04:702] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：31; NpcThreadId: 80748, CurPlayThreadId: 80748

[2026-09-17 10:51:44:044] LuaNPC:玩家名字 ID:999999999 执行 attackdamage player:玩家名字 耗时：63; NpcThreadId: 80748, CurPlayThreadId: 80748
