[2026-06-25 00:04:41:202] LuaNPC: ID:999999999 执行 startup player: 耗时：31; NpcThreadId: 25052, CurPlayThreadId: 25052

[2026-06-25 00:06:29:258] LuaNPC:玩家名字kk ID:999999999 执行 login player:玩家名字kk 耗时：1454; NpcThreadId: 25052, CurPlayThreadId: 25052

[2026-06-25 00:11:07:891] LuaNPC:玩家名字kk ID:999999999 执行 ggna player:玩家名字kk 耗时：32; NpcThreadId: 25052, CurPlayThreadId: 25052

[2026-06-25 00:11:15:166] LuaNPC:玩家名字kk ID:999999999 执行 login player:玩家名字kk 耗时：31; NpcThreadId: 25052, CurPlayThreadId: 25052

[2026-06-25 00:11:41:858] LuaNPC:玩家名字kk ID:999999999 执行 clicknpc player:玩家名字kk 耗时：47; NpcThreadId: 25052, CurPlayThreadId: 25052

[2026-06-25 00:11:50:744] LuaNPC:玩家名字kk ID:999999999 执行 clicknpc player:玩家名字kk 耗时：31; NpcThreadId: 25052, CurPlayThreadId: 25052

[2026-06-25 03:32:13:604] LuaNPC:玩家名字kk ID:999999999 执行 stdmodefunc10 player:玩家名字kk 耗时：79; NpcThreadId: 25052, CurPlayThreadId: 25052

[2026-06-25 03:47:19:749] LuaNPC:玩家名字kk ID:999999999 执行 login player:玩家名字kk 耗时：47; NpcThreadId: 25052, CurPlayThreadId: 25052

[2026-06-25 04:32:22:370] LuaNPC:玩家名字 ID:999999999 执行 login player:玩家名字 耗时：31; NpcThreadId: 25052, CurPlayThreadId: 25052

[2026-06-25 04:37:01:824] LuaNPC:玩家名字 ID:999999999 执行 login player:玩家名字 耗时：1375; NpcThreadId: 7596, CurPlayThreadId: 7596

[2026-06-25 04:37:10:179] LuaNPC:玩家名字 ID:999999999 执行 deletetask player:玩家名字 耗时：31; NpcThreadId: 7596, CurPlayThreadId: 7596
[2026-06-25 04:37:10:179] LuaNPC:玩家名字 ID:999999999 执行 handlerequest player:玩家名字 耗时：109; NpcThreadId: 7596, CurPlayThreadId: 7596
[2026-06-25 04:37:10:179] [玩家名字]Lua执行耗时过高:109ms msgid:101 18 1 0 

[2026-06-25 04:37:13:155] LuaNPC:玩家名字 ID:999999999 执行 takeonex player:玩家名字 耗时：78; NpcThreadId: 7596, CurPlayThreadId: 7596

[2026-06-25 04:37:23:668] LuaNPC:玩家名字 ID:999999999 执行 killmon player:玩家名字 耗时：1125; NpcThreadId: 7596, CurPlayThreadId: 7596
[2026-06-25 04:37:25:778] LuaNPC:玩家名字 ID:999999999 执行 pickupitemex player:玩家名字 耗时：31; NpcThreadId: 7596, CurPlayThreadId: 7596

[2026-06-25 04:41:07:300] LuaNPC: ID:999999999 执行 ontimerex1 player: 耗时：328; NpcThreadId: 7596, CurPlayThreadId: 7596

[2026-06-25 04:47:41:047] LuaNPC:玩家名字 ID:999999999 执行 ontimer1 player:玩家名字 耗时：31; NpcThreadId: 7596, CurPlayThreadId: 7596

[2026-06-25 04:51:07:471] LuaNPC: ID:999999999 执行 ontimerex1 player: 耗时：484; NpcThreadId: 7596, CurPlayThreadId: 7596

[2026-06-25 05:06:07:078] LuaNPC: ID:999999999 执行 ontimerex1 player: 耗时：93; NpcThreadId: 7596, CurPlayThreadId: 7596

[2026-06-25 05:11:07:259] LuaNPC: ID:999999999 执行 ontimerex1 player: 耗时：281; NpcThreadId: 7596, CurPlayThreadId: 7596

[2026-06-25 05:38:02:688] LuaNPC:玩家名字 ID:999999999 执行 clicknpc player:玩家名字 耗时：32; NpcThreadId: 7596, CurPlayThreadId: 7596

[2026-06-25 05:38:15:638] LuaNPC:玩家名字 ID:999999999 执行 clicknpc player:玩家名字 耗时：297; NpcThreadId: 7596, CurPlayThreadId: 7596

[2026-06-25 06:30:50:248] LuaNPC:玩家名字 ID:999999999 执行 clicknpc player:玩家名字 耗时：31; NpcThreadId: 7596, CurPlayThreadId: 7596

