[2026-05-05 07:52:06:175] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 07:52:37:964] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 07:53:08:728] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 07:53:38:811] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 07:54:13:440] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 07:54:24:165] LuaNPC:玩家名字 ID:999999999 执行 killmon player:玩家名字 耗时：31; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 07:54:43:684] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：110; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 07:55:13:547] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 07:55:43:558] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 07:56:16:689] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 07:56:46:243] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：79; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 07:57:17:461] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 07:57:40:246] LuaNPC:玩家名字 ID:999999999 执行 killmon player:玩家名字 耗时：31; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 07:57:48:392] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 07:58:19:724] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 07:58:49:402] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：93; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 07:59:20:613] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 07:59:50:376] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:00:20:431] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:00:51:694] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:01:22:314] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:01:53:313] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:02:23:695] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:02:53:863] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:03:25:413] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:04:11:468] LuaNPC:玩家名字 ID:999999999 执行 deletetask player:玩家名字 耗时：31; NpcThreadId: 109616, CurPlayThreadId: 109616
[2026-05-05 08:04:11:491] LuaNPC:玩家名字 ID:999999999 执行 handlerequest player:玩家名字 耗时：47; NpcThreadId: 109616, CurPlayThreadId: 109616
[2026-05-05 08:04:11:491] [玩家名字]Lua执行耗时过高:47ms msgid:100 33 1 0 
[2026-05-05 08:04:11:964] LuaNPC:玩家名字 ID:999999999 执行 handlerequest player:玩家名字 耗时：156; NpcThreadId: 109616, CurPlayThreadId: 109616
[2026-05-05 08:04:11:964] [玩家名字]Lua执行耗时过高:156ms msgid:100 33 1 0 

[2026-05-05 08:04:29:993] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：79; NpcThreadId: 109616, CurPlayThreadId: 109616

